timestamp,attack_type,src_ip,dst_ip,dst_port,protocol,info
1752521444.082456,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.105646,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.14695,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.177144,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.223645,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.223698,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521444.30668,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521444.476031,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521444.487781,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.595059,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.651668,Exfiltration,192.168.1.42,,,,Total bytes sent: 10000692.0
1752521444.66281,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.7085,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.730822,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.730826,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521444.761895,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.794599,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521444.828094,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.875908,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521444.917547,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521445.023203,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.078292,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.078298,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521445.139679,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.216567,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.344572,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.371788,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521445.419117,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.570587,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.570601,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521445.61355,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.666492,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.674032,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521445.798561,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.817128,DDoS,,192.168.1.42,,,Packets/sec: 1001
1752521445.856783,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.917618,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521445.923254,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521445.996173,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.002455,BruteForce,172.66.1.46,192.168.1.42,51720,,Attempts: 200
1752521446.041711,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752521446.071853,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.105045,BruteForce,184.28.81.159,192.168.1.42,51662,,Attempts: 200
1752521446.151552,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.228017,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.286666,BruteForce,172.66.1.46,192.168.1.42,51721,,Attempts: 200
1752521446.331468,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.336392,DDoS,,172.66.1.46,,,Packets/sec: 1001
1752521446.399827,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.440036,DDoS,,192.168.1.42,,,Packets/sec: 1001
1752521446.461499,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
1752521446.540463,BruteForce,192.168.1.42,172.66.1.46,443,,Attempts: 200
